ID;city;lat;lng;admin;capital;patrim;nomeavel
1;Lisboa;38,716667;-9,133333;Lisboa;primary;Sim;Sim
2;Picotos;41,192402;-8,619816;Porto;minor;Nao;Nao
3;Braga;41,550323;-8,420052;Braga;admin;Sim;Sim
5;Setubal;38,533333;-8,9;Setubal;admin;Nao;Sim
6;Copeira;40,176915;-8,424018;Coimbra;minor;Nao;Nao
8;Portimao;37,136636;-8,539796;Faro;minor;Nao;Nao
9;evora;38,566667;-7,9;evora;admin;Sim;Sim
10;Aveiro;40,644269;-8,645535;Aveiro;admin;Nao;Sim
11;Leiria;39,747724;-8,804995;Leiria;admin;Nao;Nao
12;Faro;37,019367;-7,932229;Faro;admin;Nao;Nao
13;Beja;38,015064;-7,863227;Beja;admin;Nao;Nao
14;Braganca;41,805817;-6,757189;Braganca;admin;Nao;Nao
15;Castelo Branco;39,822191;-7,490869;Castelo Branco;admin;Nao;Nao
16;Guarda;40,537328;-7,265749;Guarda;admin;Nao;Nao
17;Santarem;39,233333;-8,683333;Santarem;admin;Nao;Nao
18;Viseu;40,661014;-7,909714;Viseu;admin;Nao;Nao
19;Covilha;40,286011;-7,503961;Castelo Branco;minor;Nao;Nao
20;Vila Marim;41,304961;-7,779743;Vila Real;minor;Nao;Nao
21;Portalegre;39,297178;-7,430151;Portalegre;admin;Nao;Nao
22;Viana do Castelo;41,693234;-8,832869;Viana do Castelo;admin;Nao;Nao
25;Lagos;37,101782;-8,674242;Faro;minor;Nao;Sim
26;Paredes de Coura;41,910125;-8,560938;Viana do Castelo;minor;Nao;Nao
27;Sao Joao da Pesqueira;41,148051;-7,404888;Viseu;minor;Nao;Nao
28;Sao Joao da Madeira;40,900956;-8,499744;Aveiro;minor;Nao;Nao
29;Fornos de Algodres;40,628072;-7,540638;Guarda;minor;Nao;Nao
30;Castelo de Paiva;41,063007;-8,264696;Aveiro;minor;Nao;Nao
31;Portel;38,30697;-7,702435;evora;minor;Nao;Sim
32;Porto;41,149606;-8,610993;Porto;admin;Sim;Nao
33;Serta;39,808461;-8,098829;Castelo Branco;minor;Nao;Nao
34;Vila do Bispo;37,083172;-8,911438;Faro;minor;Nao;Nao
35;Fronteira;39,056291;-7,648679;Portalegre;minor;Nao;Nao
36;Alfandega da Fe;41,343149;-6,961124;Braganca;minor;Nao;Nao
37;Celorico da Beira;40,637232;-7,39037;Guarda;minor;Nao;Nao
38;Alcoutim;37,474317;-7,472282;Faro;minor;Nao;Nao
39;Arronches;39,122417;-7,286192;Portalegre;minor;Nao;Nao
40;Amarante;41,272711;-8,082455;Porto;minor;Nao;Nao
41;Tabuaco;41,116147;-7,567934;Viseu;minor;Nao;Nao
42;Gouveia;40,494455;-7,592145;Guarda;minor;Nao;Nao
43;Aguiar da Beira;40,817264;-7,544307;Guarda;minor;Nao;Nao
44;Idanha-a-Nova;39,923157;-7,240819;Castelo Branco;minor;Nao;Nao
45;Ribeira de Pena;41,52147;-7,802372;Vila Real;minor;Nao;Nao
46;Seia;40,415099;-7,708586;Guarda;minor;Nao;Nao
47;Rio Maior;39,337325;-8,939063;Santarem;minor;Nao;Nao
48;Condeixa-a-Nova;40,115733;-8,498336;Coimbra;minor;Nao;Nao
49;Macao;39,555734;-7,994215;Santarem;minor;Nao;Nao
